"","other","Coniochaeta_polymorpha","other","Curvibasidium_cygneicollum","Exophiala_crusticola","Wickerhamomyces_anomalus","Knufia_epidermidis","Tubulicrinis_globisporus","Phialocephala_fluminis","Cladosporium_sphaerospermum","Rhinocladiella_similis","Nigrospora_oryzae","Rhizopus_arrhizus","Malassezia_sympodialis","Wallemia_ichthyophaga","Peniophora_albobadia","Gibberella_tricincta","Nectria_pseudotrichia","Antrodia_gossypium","Tritirachium_oryzae","Diutina_catenulata","Amyloporia_sinuosa","Cystobasidium_slooffiae","Mrakia_frigida","Rhodotorula_diobovata","Aspergillus_tardicrescens","Nigrospora_zimmermanii","Penicillium_astrolabium","Aspergillus_puulaauensis","other","Hannaella_sinensis","Phaeosphaeria_poagena","other","Malassezia_dermatis","Devriesia_sardiniae","other","other","Coriolopsis_gallica","Pyrenophora_chaetomioides","Wallrothiella_gmelinae","Hortaea_thailandica","Antrodia_macra","Candida_tropicalis","other","Symmetrospora_sp","other","Yarrowia_bubula","other","other","Aspergillus_penicillioides","Pyrenophora_tritici-repentis","Pilidium_pseudoconcavum","Aspergillus_occultus","Plectosphaerella_niemeijerarum","Alternaria_infectoria","Pterula_gracilis","Coprinopsis_melanthina","Yamadazyma_mexicana","Lepista_sordida","Fusarium_petroliphilum","other","other","Malassezia_restricta","other","Filobasidium_oeirense","Sporisorium_graminicola","Stachybotrys_chartarum","other","Cutaneotrichosporon_jirovecii","other","Debaryomyces_hansenii","Plenodomus_pimpinellae","other","other","other","other","Curvularia_americana","Penicillium_spinulosum","Cutaneotrichosporon_dermatis","Stereum_hirsutum","Libertasomyces_platani","Acremonium_charticola","Tubaria_conspersa","Radulomyces_molaris","Cladosporium_aphidis","Galzinia_incrustans","Neocatenulostroma_microsporum","Striaticonidium_cinctum","Bulleromyces_albus","Curvularia_tsudae","other","other","Kwoniella_betulae","other","other","Clavispora_sp","other","Hyphodermella_rosae","Aspergillus_glabripes","other","other","Trametes_suaveolens","other","Lectera_longa","Peroneutypa_scoparia","Myceliophthora_thermophila","Devriesia_fraserae","Resinicium_saccharicola","Bipolaris_cynodontis","other","Sistotrema_brinkmannii","Gliomastix_murorum","other","Xylodon_erastii","Talaromyces_cecidicola","other","other","other","Ulocladium_chartarum","Vishniacozyma_foliicola","Acremonium_pilosum","Sporidiobolus_salmonicolor","other","other","other","Microascus_croci","Pneumocystis_jirovecii","Monographella_nivalis","Lepista_nuda","Xenasmatella_christiansenii","Golovinomyces_sonchicola","Morchella_rufobrunnea","Piskurozyma_silvicola","Penicillium_toxicarium","Bjerkandera_adusta","Sampaiozyma_ingeniosa","Aureobasidium_pullulans","other","Steccherinum_tenue","Botryotrichum_spirotrichum","Dissoconium_proteae","other","other","other","Naganishia_albida","Cyphellophora_europaea","other","Candida_glabrata","Aspergillus_stromatoides","Pringsheimia_smilacis","other","other","Tilletia_puccinelliae","Kodamaea_ohmeri","Endoconidioma_populi","Candida_zeylanoides","other","other","Spencerozyma_crocea","Lentinus_arcularius","Rhodosporidiobolus_odoratus","Pseudozyma_hubeiensis","Tricholoma_batschii","Engyodontium_album","Periconia_cookei","other","Antrodia_xantha","Gibberella_nygamai","Peniophora_cinerea","other","other","Erysiphe_sp","Meyerozyma_neustonensis","Cladosporium_cladosporioides","Eutypa_leptoplaca","Verrucocladosporium_dirinae","other","Malassezia_arunalokei","other","Pseudotaeniolina_globosa","Hyphopichia_burtonii","Cyberlindnera_jadinii","Candida_spencermartinsiae","Torulaspora_delbrueckii","Kondoa_subrosea","Lepiota_lilacea","other","Acremonium_brachypenium","other","Wallemia_tropicalis","Rhodosporidiobolus_oreadorum","Xenodidymella_saxea","other","other","Saccharomyces_cerevisiae","Trichosporon_asahii","Alternaria_alternata","Gymnopus_dryophilus","Acremonium_sordidulum","other","Coniosporium_apollinis","Hannaella_siamensis","Moesziomyces_rugulosus","Ramularia_collo-cygni","other","Aspergillus_gracilis","other","Papiliotrema_aurea","other","Dioszegia_hungarica","other","Mucor_fuscus","Aspergillus_restrictus","Efibula_clarkii","other","Candida_sake","Candida_saitoana","Debaryomyces_singareniensis","Aureobasidium_namibiae","Geosmithia_brunnea","other","Crustoderma_marianum","other","Malassezia_globosa","Grammothele_fuligo","Ramularia_citricola","Myrmecridium_schulzeri","Xerochrysium_dermatitidis","Aspergillus_conicus","Millerozyma_farinosa","Pholiota_gallica","Malassezia_yamatoensis","other","other","Alfaria_terrestris","Pleurotus_ostreatus","other","other","Neosetophoma_rosarum","Symmetrospora_coprosmae","Vishniacozyma_taibaiensis","Penicillium_roqueforti","Penicillium_expansum","Scopulariopsis_candida","Caloplaca_ochracea","other","other","Neodevriesia_capensis","other","other","Stigmina_platani","other","Fusarium_chlamydosporum","Rhodotorula_graminis","other","Rhodosporidiobolus_colostri","other","other","Gibberella_zeae","Cryptococcus_uniguttulatus","Wallemia_hederae","other","Clavidisculum_karstenii","other","other","Trimmatostroma_salinum","Saxophila_tyrrhenica","Coprinellus_heptemerus","other","Acremonium_roseolum","Hansfordia_pulvinata","Aspergillus_clavatophorus","Petriella_sordida","Recurvomyces_mirabilis","other","Nakazawaea_holstii","other","Agaricus_bisporus","other","Cystofilobasidium_capitatum","Schizophyllum_commune","Rhodotorula_nothofagi","Coriolopsis_aspera","other","Candida_orthopsilosis","other","other","Stemphylium_lycii","Tricholoma_terreum","other","Pleiochaeta_carotae","Wallemia_sebi","Mycena_abramsii","Hortaea_werneckii","other","other","other","Yarrowia_porcina","Aspergillus_caespitosus","Penicillium_corylophilum","other","other","other","other","Asterostroma_cervicolor","Candida_parapsilosis","Musicillium_theobromae","Symmetrospora_foliicola","Arthrinium_malaysianum","Mucor_plumbeus","Neoerysiphe_nevoi","Gjaerumia_minor","Aspergillus_unguis","other","Robbauera_albescens","Alternaria_eureka","Penicillium_bialowiezense","Blumeria_graminis","Aspergillus_canadensis","Phanerochaete_tuberculata","Bipolaris_zeicola","other","Vishniacozyma_heimaeyensis","Epicoccum_nigrum","Vishniacozyma_dimennae","other","other","other","other","other","Neodevriesia_bulbillosa","other","Sistotremastrum_niveocremeum","other","other","Tilletiopsis_washingtonensis","Phaeosphaeria_juncicola","Penicillium_catenatum","Acremonium_exuviarum","other","Byssochlamys_spectabilis","Peziza_ostracoderma","other","Candida_caryicola","other","other","Cystidiodontia_laminifera","Neocatenulostroma_abietis","Entyloma_cosmi","Rhynchogastrema_visegradensis","Neocladosporium_leucadendri","other","other","other","Pyrenochaetopsis_leptospora","Fusarium_oxysporum","Hannaella_luteola","Tausonia_pullulans","other","other","other","other","Fusarium_keratoplasticum","Byssomerulius_corium","other","other","Sterigmatomyces_halophilus","Vishniacozyma_victoriae","other","other","Candida_sojae","Meyerozyma_caribbica","Rhodotorula_mucilaginosa","other","Phanerochaete_livescens","other","Quambalaria_cyanescens","Papiliotrema_frias","Gibellulopsis_chrysanthemi","Papiliotrema_flavescens","other","Arrhenia_elegans","other","Mucor_racemosus","Pseudopithomyces_rosae","Keissleriella_quadriseptata","Yamadazyma_triangularis","other","Aspergillus_halophilicus","Hyperphyscia_adglutinata","Sporobolomyces_roseus","Neodevriesia_poagena","Kondoa_yuccicola","Nigrospora_musae","Blastobotrys_proliferans","Peniophora_lycii","Parastagonospora_phoenicicola","other","Candida_albicans","other","Muriphaeosphaeria_viburni","Cystofilobasidium_infirmominiatum","Grammothele_lineata","Gloeophyllum_abietinum","other","other","Itersonilia_perplexans","other","Ustilago_hordei","Coprinus_phaeopunctatus","other","Penicillium_citrinum","other","Coniochaeta_fasciculata","Chrysosporium_lobatum","other","other","Aspergillus_hiratsukae","other","Spiromastix_princeps","Symmetrospora_symmetrica","other","diversity"
"F1986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1991",0,0,0,0,0,0,0,0,0,0,0,0,0,24610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16170,3
"F1992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32006,0,0,0,0,0,0,0,11583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F1997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168540,0,0,0,0,0,0,0,0,0,33380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445480,0,0,100960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32600,10
"F1998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F1999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
